id,ciudad,fecha,monto_venta
1,Bogotá,2024-11-01,28207605
2,Medellín,2024-11-01,31198356
3,Cali,2024-11-01,33664760
4,Barranquilla,2024-11-01,37035736
5,Cartagena,2024-11-01,26338044
6,Bucaramanga,2024-11-01,23709174
7,Pereira,2024-11-01,11136660
8,Manizales,2024-11-01,35906974
9,Santa Marta,2024-11-01,23079603
10,Cúcuta,2024-11-01,9157070
11,Bogotá,2024-11-02,27197509
12,Medellín,2024-11-02,45990243
13,Cali,2024-11-02,12383440
14,Barranquilla,2024-11-02,24327536
15,Cartagena,2024-11-02,46008543
16,Bucaramanga,2024-11-02,11623686
17,Pereira,2024-11-02,40592618
18,Manizales,2024-11-02,30658236
19,Santa Marta,2024-11-02,18717752
20,Cúcuta,2024-11-02,20420366
21,Bogotá,2024-11-03,49891697
22,Medellín,2024-11-03,18267749
23,Cali,2024-11-03,8157194
24,Barranquilla,2024-11-03,36180100
25,Cartagena,2024-11-03,6030403
26,Bucaramanga,2024-11-03,24256444
27,Pereira,2024-11-03,27194932
28,Manizales,2024-11-03,11365075
29,Santa Marta,2024-11-03,15523340
30,Cúcuta,2024-11-03,22701549
31,Bogotá,2024-11-04,21340737
32,Medellín,2024-11-04,25390381
33,Cali,2024-11-04,42724842
34,Barranquilla,2024-11-04,27983338
35,Cartagena,2024-11-04,36247258
36,Bucaramanga,2024-11-04,6232132
37,Pereira,2024-11-04,36771899
38,Manizales,2024-11-04,19261609
39,Santa Marta,2024-11-04,28087217
40,Cúcuta,2024-11-04,16673393
41,Bogotá,2024-11-05,34508544
42,Medellín,2024-11-05,14079042
43,Cali,2024-11-05,32814358
44,Barranquilla,2024-11-05,49791564
45,Cartagena,2024-11-05,19776222
46,Bucaramanga,2024-11-05,48117460
47,Pereira,2024-11-05,6685276
48,Manizales,2024-11-05,19518586
49,Santa Marta,2024-11-05,11301794
50,Cúcuta,2024-11-05,46877011
51,Bogotá,2024-11-06,10425238
52,Medellín,2024-11-06,22988838
53,Cali,2024-11-06,43638640
54,Barranquilla,2024-11-06,42502689
55,Cartagena,2024-11-06,37961640
56,Bucaramanga,2024-11-06,48827711
57,Pereira,2024-11-06,30202942
58,Manizales,2024-11-06,34123076
59,Santa Marta,2024-11-06,22592109
60,Cúcuta,2024-11-06,33061017
61,Bogotá,2024-11-07,46787739
62,Medellín,2024-11-07,43024685
63,Cali,2024-11-07,40290527
64,Barranquilla,2024-11-07,5581512
65,Cartagena,2024-11-07,15094670
66,Bucaramanga,2024-11-07,43616444
67,Pereira,2024-11-07,13068916
68,Manizales,2024-11-07,7664381
69,Santa Marta,2024-11-07,24165300
70,Cúcuta,2024-11-07,31348537
71,Bogotá,2024-11-08,15968884
72,Medellín,2024-11-08,11476279
73,Cali,2024-11-08,47166393
74,Barranquilla,2024-11-08,38839417
75,Cartagena,2024-11-08,40838596
76,Bucaramanga,2024-11-08,42040932
77,Pereira,2024-11-08,15089617
78,Manizales,2024-11-08,7901249
79,Santa Marta,2024-11-08,18851011
80,Cúcuta,2024-11-08,33989478
81,Bogotá,2024-11-09,22229054
82,Medellín,2024-11-09,37923111
83,Cali,2024-11-09,14985851
84,Barranquilla,2024-11-09,5879855
85,Cartagena,2024-11-09,8996916
86,Bucaramanga,2024-11-09,49185769
87,Pereira,2024-11-09,49413899
88,Manizales,2024-11-09,34367076
89,Santa Marta,2024-11-09,40229984
90,Cúcuta,2024-11-09,7738547
91,Bogotá,2024-11-10,33023746
92,Medellín,2024-11-10,12912056
93,Cali,2024-11-10,45926046
94,Barranquilla,2024-11-10,41926844
95,Cartagena,2024-11-10,34535758
96,Bucaramanga,2024-11-10,48323565
97,Pereira,2024-11-10,34107900
98,Manizales,2024-11-10,48044224
99,Santa Marta,2024-11-10,48993418
100,Cúcuta,2024-11-10,42986984
101,Bogotá,2024-11-11,43431721
102,Medellín,2024-11-11,9628386
103,Cali,2024-11-11,18034944
104,Barranquilla,2024-11-11,23095618
105,Cartagena,2024-11-11,49556205
106,Bucaramanga,2024-11-11,23808841
107,Pereira,2024-11-11,45717192
108,Manizales,2024-11-11,34314313
109,Santa Marta,2024-11-11,29861738
110,Cúcuta,2024-11-11,19556388
111,Bogotá,2024-11-12,18583876
112,Medellín,2024-11-12,23670786
113,Cali,2024-11-12,23997725
114,Barranquilla,2024-11-12,13386623
115,Cartagena,2024-11-12,28826592
116,Bucaramanga,2024-11-12,30753264
117,Pereira,2024-11-12,9314805
118,Manizales,2024-11-12,8149946
119,Santa Marta,2024-11-12,32987007
120,Cúcuta,2024-11-12,17444918
121,Bogotá,2024-11-13,17076260
122,Medellín,2024-11-13,17089179
123,Cali,2024-11-13,43222192
124,Barranquilla,2024-11-13,49745809
125,Cartagena,2024-11-13,22223039
126,Bucaramanga,2024-11-13,16114766
127,Pereira,2024-11-13,26756517
128,Manizales,2024-11-13,7138116
129,Santa Marta,2024-11-13,38260594
130,Cúcuta,2024-11-13,42250796
131,Bogotá,2024-11-14,48630731
132,Medellín,2024-11-14,46058741
133,Cali,2024-11-14,25986321
134,Barranquilla,2024-11-14,37582209
135,Cartagena,2024-11-14,15445994
136,Bucaramanga,2024-11-14,33375867
137,Pereira,2024-11-14,42096376
138,Manizales,2024-11-14,28989357
139,Santa Marta,2024-11-14,25485779
140,Cúcuta,2024-11-14,29439382
141,Bogotá,2024-11-15,15789244
142,Medellín,2024-11-15,16346638
143,Cali,2024-11-15,17158467
144,Barranquilla,2024-11-15,35350956
145,Cartagena,2024-11-15,21608239
146,Bucaramanga,2024-11-15,47472025
147,Pereira,2024-11-15,29755252
148,Manizales,2024-11-15,36603750
149,Santa Marta,2024-11-15,5038089
150,Cúcuta,2024-11-15,45921052
151,Bogotá,2024-11-16,28872751
152,Medellín,2024-11-16,37015605
153,Cali,2024-11-16,21600226
154,Barranquilla,2024-11-16,14961156
155,Cartagena,2024-11-16,11660994
156,Bucaramanga,2024-11-16,21240397
157,Pereira,2024-11-16,48521736
158,Manizales,2024-11-16,23163692
159,Santa Marta,2024-11-16,6888358
160,Cúcuta,2024-11-16,23098022
161,Bogotá,2024-11-17,5370032
162,Medellín,2024-11-17,40987042
163,Cali,2024-11-17,42022625
164,Barranquilla,2024-11-17,30293326
165,Cartagena,2024-11-17,27738158
166,Bucaramanga,2024-11-17,48304260
167,Pereira,2024-11-17,32019825
168,Manizales,2024-11-17,49866947
169,Santa Marta,2024-11-17,40877804
170,Cúcuta,2024-11-17,47942283
171,Bogotá,2024-11-18,24283800
172,Medellín,2024-11-18,38567015
173,Cali,2024-11-18,21631598
174,Barranquilla,2024-11-18,22759460
175,Cartagena,2024-11-18,28161424
176,Bucaramanga,2024-11-18,14559224
177,Pereira,2024-11-18,41518895
178,Manizales,2024-11-18,34713550
179,Santa Marta,2024-11-18,40516512
180,Cúcuta,2024-11-18,33783084
181,Bogotá,2024-11-19,27924799
182,Medellín,2024-11-19,26798996
183,Cali,2024-11-19,35550005
184,Barranquilla,2024-11-19,46871876
185,Cartagena,2024-11-19,34000139
186,Bucaramanga,2024-11-19,47044647
187,Pereira,2024-11-19,35806457
188,Manizales,2024-11-19,19367155
189,Santa Marta,2024-11-19,49049033
190,Cúcuta,2024-11-19,25968835
191,Bogotá,2024-11-20,35325173
192,Medellín,2024-11-20,40264004
193,Cali,2024-11-20,17151645
194,Barranquilla,2024-11-20,5042905
195,Cartagena,2024-11-20,48847866
196,Bucaramanga,2024-11-20,27155764
197,Pereira,2024-11-20,29398235
198,Manizales,2024-11-20,34947976
199,Santa Marta,2024-11-20,43894276
200,Cúcuta,2024-11-20,10059558
201,Bogotá,2024-11-21,46476362
202,Medellín,2024-11-21,22260085
203,Cali,2024-11-21,5796663
204,Barranquilla,2024-11-21,19173883
205,Cartagena,2024-11-21,7765958
206,Bucaramanga,2024-11-21,13372028
207,Pereira,2024-11-21,30646728
208,Manizales,2024-11-21,17526571
209,Santa Marta,2024-11-21,45714569
210,Cúcuta,2024-11-21,7012554
211,Bogotá,2024-11-22,42232898
212,Medellín,2024-11-22,42453349
213,Cali,2024-11-22,31110914
214,Barranquilla,2024-11-22,41866263
215,Cartagena,2024-11-22,46162577
216,Bucaramanga,2024-11-22,39818123
217,Pereira,2024-11-22,37190716
218,Manizales,2024-11-22,32974699
219,Santa Marta,2024-11-22,29217331
220,Cúcuta,2024-11-22,38544519
221,Bogotá,2024-11-23,5209526
222,Medellín,2024-11-23,26881923
223,Cali,2024-11-23,48820938
224,Barranquilla,2024-11-23,44878556
225,Cartagena,2024-11-23,40654933
226,Bucaramanga,2024-11-23,31773997
227,Pereira,2024-11-23,24441728
228,Manizales,2024-11-23,41746569
229,Santa Marta,2024-11-23,45423989
230,Cúcuta,2024-11-23,18653324
231,Bogotá,2024-11-24,27906044
232,Medellín,2024-11-24,30697938
233,Cali,2024-11-24,34288054
234,Barranquilla,2024-11-24,41128533
235,Cartagena,2024-11-24,49925095
236,Bucaramanga,2024-11-24,34411905
237,Pereira,2024-11-24,33233067
238,Manizales,2024-11-24,36546496
239,Santa Marta,2024-11-24,35744894
240,Cúcuta,2024-11-24,40751404
241,Bogotá,2024-11-25,15376667
242,Medellín,2024-11-25,34585513
243,Cali,2024-11-25,47464875
244,Barranquilla,2024-11-25,11179707
245,Cartagena,2024-11-25,32822772
246,Bucaramanga,2024-11-25,17578035
247,Pereira,2024-11-25,49510777
248,Manizales,2024-11-25,11470896
249,Santa Marta,2024-11-25,30721197
250,Cúcuta,2024-11-25,19155229
251,Bogotá,2024-11-26,6807418
252,Medellín,2024-11-26,24789134
253,Cali,2024-11-26,36631448
254,Barranquilla,2024-11-26,22599931
255,Cartagena,2024-11-26,26426906
256,Bucaramanga,2024-11-26,49771835
257,Pereira,2024-11-26,9936107
258,Manizales,2024-11-26,27936533
259,Santa Marta,2024-11-26,41409071
260,Cúcuta,2024-11-26,33552510
261,Bogotá,2024-11-27,26365442
262,Medellín,2024-11-27,22886484
263,Cali,2024-11-27,39651808
264,Barranquilla,2024-11-27,28395408
265,Cartagena,2024-11-27,6232744
266,Bucaramanga,2024-11-27,38841385
267,Pereira,2024-11-27,36584897
268,Manizales,2024-11-27,41619206
269,Santa Marta,2024-11-27,40909600
270,Cúcuta,2024-11-27,22610465
271,Bogotá,2024-11-28,25473711
272,Medellín,2024-11-28,18154796
273,Cali,2024-11-28,33239331
274,Barranquilla,2024-11-28,16036138
275,Cartagena,2024-11-28,47759160
276,Bucaramanga,2024-11-28,30735065
277,Pereira,2024-11-28,13145727
278,Manizales,2024-11-28,38370293
279,Santa Marta,2024-11-28,38288138
280,Cúcuta,2024-11-28,40292753
281,Bogotá,2024-11-29,34718170
282,Medellín,2024-11-29,13800176
283,Cali,2024-11-29,26830096
284,Barranquilla,2024-11-29,34580560
285,Cartagena,2024-11-29,24424127
286,Bucaramanga,2024-11-29,24737684
287,Pereira,2024-11-29,33162931
288,Manizales,2024-11-29,39755152
289,Santa Marta,2024-11-29,35223977
290,Cúcuta,2024-11-29,12256991
291,Bogotá,2024-11-30,5148465
292,Medellín,2024-11-30,21713949
293,Cali,2024-11-30,7978657
294,Barranquilla,2024-11-30,33690189
295,Cartagena,2024-11-30,37582052
296,Bucaramanga,2024-11-30,42409653
297,Pereira,2024-11-30,49254836
298,Manizales,2024-11-30,40707068
299,Santa Marta,2024-11-30,47934261
300,Cúcuta,2024-11-30,37781611
301,Bogotá,2024-12-01,49692206
302,Medellín,2024-12-01,18268667
303,Cali,2024-12-01,19188067
304,Barranquilla,2024-12-01,15622328
305,Cartagena,2024-12-01,39827682
306,Bucaramanga,2024-12-01,18540006
307,Pereira,2024-12-01,24782686
308,Manizales,2024-12-01,42824519
309,Santa Marta,2024-12-01,9907858
310,Cúcuta,2024-12-01,29781713
311,Bogotá,2024-12-02,49573273
312,Medellín,2024-12-02,15456355
313,Cali,2024-12-02,37212128
314,Barranquilla,2024-12-02,14166506
315,Cartagena,2024-12-02,12631968
316,Bucaramanga,2024-12-02,37833086
317,Pereira,2024-12-02,9908362
318,Manizales,2024-12-02,45668151
319,Santa Marta,2024-12-02,14133007
320,Cúcuta,2024-12-02,17621024
321,Bogotá,2024-12-03,10687917
322,Medellín,2024-12-03,9210913
323,Cali,2024-12-03,27042746
324,Barranquilla,2024-12-03,32742583
325,Cartagena,2024-12-03,40120844
326,Bucaramanga,2024-12-03,10630192
327,Pereira,2024-12-03,31414517
328,Manizales,2024-12-03,39540384
329,Santa Marta,2024-12-03,31207073
330,Cúcuta,2024-12-03,27434658
331,Bogotá,2024-12-04,36220950
332,Medellín,2024-12-04,5026427
333,Cali,2024-12-04,47173825
334,Barranquilla,2024-12-04,48404964
335,Cartagena,2024-12-04,18554370
336,Bucaramanga,2024-12-04,25269438
337,Pereira,2024-12-04,20825274
338,Manizales,2024-12-04,49995363
339,Santa Marta,2024-12-04,6571656
340,Cúcuta,2024-12-04,11670695
341,Bogotá,2024-12-05,31030623
342,Medellín,2024-12-05,34348052
343,Cali,2024-12-05,41698014
344,Barranquilla,2024-12-05,38078948
345,Cartagena,2024-12-05,20238500
346,Bucaramanga,2024-12-05,46056722
347,Pereira,2024-12-05,45781876
348,Manizales,2024-12-05,21148673
349,Santa Marta,2024-12-05,31828624
350,Cúcuta,2024-12-05,22705625
351,Bogotá,2024-12-06,7449648
352,Medellín,2024-12-06,15910203
353,Cali,2024-12-06,27736631
354,Barranquilla,2024-12-06,42763712
355,Cartagena,2024-12-06,7908541
356,Bucaramanga,2024-12-06,15409510
357,Pereira,2024-12-06,40296895
358,Manizales,2024-12-06,5398579
359,Santa Marta,2024-12-06,6481486
360,Cúcuta,2024-12-06,5240240
361,Bogotá,2024-12-07,46869824
362,Medellín,2024-12-07,38011899
363,Cali,2024-12-07,49676687
364,Barranquilla,2024-12-07,27719546
365,Cartagena,2024-12-07,22783034
366,Bucaramanga,2024-12-07,49481588
367,Pereira,2024-12-07,24843997
368,Manizales,2024-12-07,17013000
369,Santa Marta,2024-12-07,41189197
370,Cúcuta,2024-12-07,17155205
371,Bogotá,2024-12-08,40350830
372,Medellín,2024-12-08,32560072
373,Cali,2024-12-08,29283042
374,Barranquilla,2024-12-08,31521525
375,Cartagena,2024-12-08,40879521
376,Bucaramanga,2024-12-08,34633385
377,Pereira,2024-12-08,20500200
378,Manizales,2024-12-08,33103183
379,Santa Marta,2024-12-08,42636290
380,Cúcuta,2024-12-08,18237474
381,Bogotá,2024-12-09,41739103
382,Medellín,2024-12-09,20416499
383,Cali,2024-12-09,43504328
384,Barranquilla,2024-12-09,6545559
385,Cartagena,2024-12-09,8648504
386,Bucaramanga,2024-12-09,22171223
387,Pereira,2024-12-09,22838779
388,Manizales,2024-12-09,12586461
389,Santa Marta,2024-12-09,24964570
390,Cúcuta,2024-12-09,29508077
391,Bogotá,2024-12-10,10440237
392,Medellín,2024-12-10,49232676
393,Cali,2024-12-10,36460861
394,Barranquilla,2024-12-10,12157288
395,Cartagena,2024-12-10,21424852
396,Bucaramanga,2024-12-10,40261812
397,Pereira,2024-12-10,7863599
398,Manizales,2024-12-10,22194526
399,Santa Marta,2024-12-10,19590085
400,Cúcuta,2024-12-10,48236475
401,Bogotá,2024-12-11,19002478
402,Medellín,2024-12-11,30436977
403,Cali,2024-12-11,48391582
404,Barranquilla,2024-12-11,31437403
405,Cartagena,2024-12-11,6843525
406,Bucaramanga,2024-12-11,37947779
407,Pereira,2024-12-11,48584641
408,Manizales,2024-12-11,39874671
409,Santa Marta,2024-12-11,46823674
410,Cúcuta,2024-12-11,48079978
411,Bogotá,2024-12-12,48627326
412,Medellín,2024-12-12,36470660
413,Cali,2024-12-12,29711301
414,Barranquilla,2024-12-12,14752377
415,Cartagena,2024-12-12,42627593
416,Bucaramanga,2024-12-12,35590705
417,Pereira,2024-12-12,33042898
418,Manizales,2024-12-12,43890187
419,Santa Marta,2024-12-12,25936927
420,Cúcuta,2024-12-12,25521792
421,Bogotá,2024-12-13,13423229
422,Medellín,2024-12-13,8056551
423,Cali,2024-12-13,30027623
424,Barranquilla,2024-12-13,36244772
425,Cartagena,2024-12-13,18995715
426,Bucaramanga,2024-12-13,13458075
427,Pereira,2024-12-13,48963980
428,Manizales,2024-12-13,19205565
429,Santa Marta,2024-12-13,43669310
